Candidate_ID,Candidate_Age,Candidate_Gender,Candidate_Marital_Status,Candidate_Highest_Degree,Candidate_Field_of_Study,Candidate_Institution_of_Graduation,Candidate_Research_Areas,Candidate_Relevant_Projects,Candidate_Publications_Count,Candidate_Work_Experience,Candidate_Specific_Roles_Held,Candidate_Industry_Experience,Candidate_Technical_Skills,Candidate_Certifications,Candidate_Achievements_Awards,Candidate_Career_Goals,Candidate_Desired_Specialization
Candidate_154,46,Male,Single,BSc,Electrical Engineering,MIT,Cloud Computing,Project B,24,25,Data Scientist,5,C++,None,Best Intern Award,Pursue a PhD,Blockchain
Candidate_155,25,Non-binary,Married,MSc,Mechanical Engineering,Harvard,Cloud Computing,Project C,3,25,Research Assistant,7,Java,None,None,Pursue a PhD,Machine Learning
Candidate_156,46,Non-binary,Married,BSc,Electrical Engineering,MIT,Cybersecurity,Project B,14,15,Software Engineer,18,C++,None,None,Pursue a PhD,Machine Learning
Candidate_157,47,Non-binary,Single,MSc,Computer Science,MIT,Cloud Computing,Project B,1,3,Data Scientist,12,C++,AWS Certified,Best Intern Award,Pursue a PhD,Quantum Computing
Candidate_158,47,Female,Single,PhD,Electrical Engineering,Harvard,Cybersecurity,Project B,1,7,Software Engineer,10,Java,None,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_159,34,Female,Married,MSc,Electrical Engineering,MIT,Cybersecurity,Project C,21,17,Software Engineer,26,C++,Cisco Certified,Employee of the Month,Pursue a PhD,Machine Learning
Candidate_160,45,Non-binary,Married,MSc,Computer Science,Stanford,Cloud Computing,Project A,38,11,Software Engineer,18,Python,None,Employee of the Month,Pursue a PhD,Machine Learning
Candidate_161,47,Male,Single,BSc,Computer Science,Stanford,Cybersecurity,Project A,16,10,Software Engineer,29,Java,Cisco Certified,None,Pursue a PhD,Quantum Computing
Candidate_162,45,Female,Married,MSc,Computer Science,Stanford,Cybersecurity,Project B,6,21,Software Engineer,24,C++,None,Best Intern Award,Pursue a PhD,Blockchain
Candidate_163,25,Female,Single,MSc,Computer Science,Harvard,Cybersecurity,Project C,28,1,Software Engineer,3,C++,Cisco Certified,Best Intern Award,Lead a Research Team,Quantum Computing
Candidate_164,33,Male,Married,PhD,Electrical Engineering,MIT,AI,Project C,25,2,Data Scientist,30,Java,AWS Certified,None,Become a Senior Engineer,Quantum Computing
Candidate_165,48,Non-binary,Married,BSc,Computer Science,Harvard,AI,Project C,20,1,Research Assistant,18,Java,None,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_166,24,Female,Married,MSc,Mechanical Engineering,Harvard,AI,Project A,21,28,Data Scientist,4,Python,None,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_167,24,Non-binary,Single,BSc,Computer Science,MIT,Cloud Computing,Project A,1,8,Research Assistant,29,Java,Cisco Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_168,39,Male,Married,MSc,Electrical Engineering,Stanford,AI,Project A,8,16,Data Scientist,22,Python,None,Best Intern Award,Lead a Research Team,Quantum Computing
Candidate_169,25,Male,Married,BSc,Electrical Engineering,Stanford,Cloud Computing,Project C,32,5,Data Scientist,3,Python,Cisco Certified,None,Pursue a PhD,Quantum Computing
Candidate_170,40,Male,Married,BSc,Mechanical Engineering,MIT,Cloud Computing,Project A,22,19,Software Engineer,14,Python,Cisco Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_171,48,Male,Single,BSc,Mechanical Engineering,Stanford,Cybersecurity,Project C,23,2,Research Assistant,3,Java,AWS Certified,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_172,48,Male,Married,MSc,Computer Science,Stanford,AI,Project B,36,28,Research Assistant,14,Java,None,None,Lead a Research Team,Quantum Computing
Candidate_173,32,Non-binary,Single,PhD,Electrical Engineering,Harvard,AI,Project C,25,3,Software Engineer,5,Python,None,Best Intern Award,Pursue a PhD,Quantum Computing
Candidate_174,30,Female,Married,MSc,Computer Science,Harvard,Cloud Computing,Project B,21,1,Software Engineer,8,Python,None,Employee of the Month,Pursue a PhD,Blockchain
Candidate_175,33,Female,Single,PhD,Electrical Engineering,Harvard,Cloud Computing,Project A,48,25,Research Assistant,1,C++,AWS Certified,None,Become a Senior Engineer,Machine Learning
Candidate_176,28,Male,Married,MSc,Mechanical Engineering,Stanford,Cybersecurity,Project B,26,27,Data Scientist,10,Java,AWS Certified,None,Become a Senior Engineer,Blockchain
Candidate_177,33,Female,Single,MSc,Electrical Engineering,MIT,AI,Project A,46,2,Data Scientist,19,C++,Cisco Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_178,29,Non-binary,Married,BSc,Mechanical Engineering,Stanford,Cloud Computing,Project A,31,20,Software Engineer,6,Java,None,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_179,38,Non-binary,Single,BSc,Mechanical Engineering,MIT,Cloud Computing,Project A,17,28,Research Assistant,26,Java,None,Best Intern Award,Lead a Research Team,Blockchain
Candidate_180,33,Female,Single,BSc,Mechanical Engineering,MIT,Cloud Computing,Project C,2,25,Research Assistant,23,Java,AWS Certified,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_181,23,Female,Single,BSc,Mechanical Engineering,Harvard,Cloud Computing,Project B,2,18,Data Scientist,26,C++,None,None,Become a Senior Engineer,Machine Learning
Candidate_182,34,Female,Single,PhD,Mechanical Engineering,Harvard,Cybersecurity,Project B,25,22,Data Scientist,20,Java,None,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_183,50,Female,Married,BSc,Computer Science,Harvard,Cybersecurity,Project B,9,30,Research Assistant,20,Java,Cisco Certified,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_184,43,Male,Single,BSc,Mechanical Engineering,MIT,AI,Project A,10,18,Software Engineer,4,C++,None,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_185,41,Female,Single,BSc,Computer Science,Stanford,AI,Project A,19,7,Research Assistant,1,Python,None,Employee of the Month,Lead a Research Team,Blockchain
Candidate_186,31,Female,Single,BSc,Computer Science,Harvard,Cybersecurity,Project A,1,7,Software Engineer,22,Python,None,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_187,33,Female,Single,PhD,Computer Science,Harvard,AI,Project A,8,5,Data Scientist,23,C++,Cisco Certified,None,Pursue a PhD,Quantum Computing
Candidate_188,30,Female,Single,MSc,Mechanical Engineering,Harvard,AI,Project B,46,13,Research Assistant,15,Java,None,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_189,35,Non-binary,Single,BSc,Mechanical Engineering,Stanford,Cloud Computing,Project A,9,22,Research Assistant,9,Java,Cisco Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_190,45,Female,Married,MSc,Computer Science,Harvard,AI,Project A,33,16,Software Engineer,23,Java,AWS Certified,None,Become a Senior Engineer,Blockchain
Candidate_191,31,Female,Married,BSc,Computer Science,Harvard,Cloud Computing,Project B,10,7,Data Scientist,25,C++,Cisco Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_192,37,Non-binary,Single,MSc,Electrical Engineering,MIT,Cybersecurity,Project A,4,3,Data Scientist,29,Python,Cisco Certified,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_193,47,Male,Married,PhD,Mechanical Engineering,Harvard,Cybersecurity,Project A,15,12,Software Engineer,20,Java,AWS Certified,None,Become a Senior Engineer,Machine Learning
Candidate_194,43,Male,Single,PhD,Electrical Engineering,MIT,Cloud Computing,Project C,8,19,Software Engineer,8,Java,AWS Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_195,36,Female,Married,BSc,Electrical Engineering,MIT,Cybersecurity,Project A,33,29,Research Assistant,4,Java,AWS Certified,None,Pursue a PhD,Quantum Computing
Candidate_196,40,Female,Single,BSc,Mechanical Engineering,MIT,Cloud Computing,Project B,34,1,Software Engineer,10,Python,AWS Certified,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_197,46,Non-binary,Married,MSc,Electrical Engineering,MIT,Cloud Computing,Project B,49,20,Data Scientist,27,Python,None,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_198,49,Non-binary,Single,MSc,Computer Science,Stanford,Cybersecurity,Project C,12,11,Research Assistant,10,Python,Cisco Certified,None,Become a Senior Engineer,Machine Learning
Candidate_199,30,Non-binary,Single,PhD,Mechanical Engineering,Stanford,AI,Project C,26,30,Data Scientist,26,Java,Cisco Certified,None,Become a Senior Engineer,Quantum Computing
Candidate_200,34,Female,Single,PhD,Electrical Engineering,Harvard,Cybersecurity,Project B,41,7,Data Scientist,30,C++,AWS Certified,Employee of the Month,Pursue a PhD,Blockchain
Candidate_201,29,Female,Single,MSc,Mechanical Engineering,MIT,Cybersecurity,Project A,0,22,Data Scientist,25,Java,None,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_202,46,Non-binary,Married,MSc,Mechanical Engineering,MIT,Cloud Computing,Project C,27,27,Research Assistant,11,Java,Cisco Certified,None,Become a Senior Engineer,Machine Learning
Candidate_203,46,Male,Married,MSc,Electrical Engineering,Harvard,Cloud Computing,Project B,50,13,Software Engineer,22,Java,Cisco Certified,None,Lead a Research Team,Quantum Computing
Candidate_204,26,Female,Married,BSc,Electrical Engineering,MIT,Cybersecurity,Project B,7,11,Research Assistant,9,Java,AWS Certified,None,Pursue a PhD,Machine Learning
Candidate_205,33,Female,Married,MSc,Mechanical Engineering,Stanford,Cloud Computing,Project A,44,25,Data Scientist,18,Java,None,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_206,42,Male,Married,MSc,Mechanical Engineering,Harvard,AI,Project A,27,30,Software Engineer,11,Python,Cisco Certified,None,Lead a Research Team,Blockchain
Candidate_207,40,Non-binary,Married,MSc,Computer Science,MIT,Cloud Computing,Project C,41,18,Data Scientist,11,Python,None,None,Pursue a PhD,Machine Learning
Candidate_208,41,Male,Single,MSc,Mechanical Engineering,Stanford,Cloud Computing,Project B,43,13,Data Scientist,26,Java,AWS Certified,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_209,29,Male,Single,PhD,Mechanical Engineering,Stanford,Cloud Computing,Project B,7,29,Research Assistant,24,Java,Cisco Certified,None,Pursue a PhD,Quantum Computing
Candidate_210,30,Female,Single,MSc,Electrical Engineering,Stanford,Cloud Computing,Project C,8,25,Data Scientist,5,C++,None,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_211,31,Non-binary,Married,BSc,Computer Science,Harvard,Cybersecurity,Project A,48,20,Data Scientist,20,Python,AWS Certified,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_212,47,Non-binary,Single,BSc,Electrical Engineering,Stanford,Cloud Computing,Project B,12,23,Data Scientist,28,Python,AWS Certified,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_213,33,Non-binary,Married,MSc,Electrical Engineering,Harvard,Cloud Computing,Project C,25,6,Software Engineer,3,Python,AWS Certified,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_214,40,Non-binary,Single,BSc,Mechanical Engineering,Stanford,Cybersecurity,Project A,29,14,Data Scientist,12,C++,AWS Certified,None,Pursue a PhD,Blockchain
Candidate_215,24,Male,Single,PhD,Electrical Engineering,Harvard,Cloud Computing,Project A,44,18,Data Scientist,23,Java,Cisco Certified,Best Intern Award,Pursue a PhD,Quantum Computing
Candidate_216,28,Male,Single,PhD,Computer Science,Harvard,Cybersecurity,Project A,28,5,Research Assistant,8,Python,None,None,Lead a Research Team,Blockchain
Candidate_217,50,Male,Married,BSc,Computer Science,Stanford,Cloud Computing,Project C,41,20,Data Scientist,15,Java,None,None,Become a Senior Engineer,Blockchain
Candidate_218,42,Female,Single,MSc,Electrical Engineering,Harvard,Cybersecurity,Project B,4,28,Research Assistant,13,Java,None,None,Pursue a PhD,Machine Learning
Candidate_219,41,Female,Single,BSc,Computer Science,Stanford,Cloud Computing,Project B,46,7,Research Assistant,9,C++,None,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_220,26,Female,Single,BSc,Mechanical Engineering,MIT,Cloud Computing,Project B,6,22,Research Assistant,24,Python,Cisco Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_221,43,Female,Married,PhD,Electrical Engineering,MIT,AI,Project A,37,7,Research Assistant,2,Python,None,Employee of the Month,Lead a Research Team,Blockchain
Candidate_222,44,Female,Married,PhD,Electrical Engineering,Stanford,AI,Project A,35,12,Software Engineer,12,Python,Cisco Certified,None,Lead a Research Team,Blockchain
Candidate_223,48,Non-binary,Single,PhD,Electrical Engineering,MIT,Cloud Computing,Project A,24,29,Software Engineer,5,C++,None,Employee of the Month,Pursue a PhD,Blockchain
Candidate_224,31,Male,Married,BSc,Mechanical Engineering,MIT,Cloud Computing,Project A,6,26,Data Scientist,25,Python,AWS Certified,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_225,33,Male,Single,PhD,Mechanical Engineering,Harvard,Cybersecurity,Project A,46,11,Research Assistant,13,Java,AWS Certified,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_226,40,Male,Single,MSc,Electrical Engineering,Harvard,Cloud Computing,Project C,6,10,Software Engineer,13,Python,AWS Certified,None,Pursue a PhD,Quantum Computing
Candidate_227,50,Female,Married,MSc,Computer Science,Harvard,Cybersecurity,Project C,42,2,Research Assistant,8,Python,Cisco Certified,None,Pursue a PhD,Blockchain
Candidate_228,40,Female,Single,PhD,Mechanical Engineering,Stanford,AI,Project C,36,26,Data Scientist,27,Java,AWS Certified,Employee of the Month,Lead a Research Team,Blockchain
Candidate_229,32,Male,Single,BSc,Mechanical Engineering,MIT,Cloud Computing,Project B,33,9,Software Engineer,21,C++,None,None,Pursue a PhD,Blockchain
Candidate_230,44,Female,Married,PhD,Mechanical Engineering,MIT,Cybersecurity,Project A,30,14,Data Scientist,1,C++,AWS Certified,Best Intern Award,Lead a Research Team,Quantum Computing
Candidate_231,30,Non-binary,Single,BSc,Computer Science,Stanford,Cloud Computing,Project B,12,26,Research Assistant,18,C++,AWS Certified,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_232,38,Male,Single,MSc,Computer Science,MIT,Cybersecurity,Project B,42,1,Software Engineer,23,Java,Cisco Certified,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_233,23,Non-binary,Married,MSc,Computer Science,Stanford,Cybersecurity,Project C,3,20,Research Assistant,28,Java,None,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_234,39,Female,Single,MSc,Mechanical Engineering,Stanford,AI,Project B,28,26,Research Assistant,22,C++,None,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_235,39,Male,Single,MSc,Mechanical Engineering,Harvard,Cloud Computing,Project B,20,23,Data Scientist,1,C++,None,Best Intern Award,Lead a Research Team,Blockchain
Candidate_236,50,Female,Married,BSc,Mechanical Engineering,MIT,AI,Project A,16,21,Data Scientist,13,Java,Cisco Certified,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_237,40,Male,Single,MSc,Mechanical Engineering,MIT,Cybersecurity,Project A,4,30,Data Scientist,12,C++,AWS Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_238,26,Female,Married,BSc,Mechanical Engineering,Harvard,Cloud Computing,Project A,41,26,Research Assistant,29,Python,None,None,Become a Senior Engineer,Quantum Computing
Candidate_239,29,Non-binary,Married,PhD,Electrical Engineering,Harvard,AI,Project B,23,18,Software Engineer,24,Python,Cisco Certified,None,Lead a Research Team,Blockchain
Candidate_240,29,Female,Single,PhD,Computer Science,Harvard,Cybersecurity,Project C,16,4,Research Assistant,23,C++,None,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_241,30,Male,Married,BSc,Electrical Engineering,Stanford,Cloud Computing,Project A,46,26,Software Engineer,8,Python,AWS Certified,Best Intern Award,Lead a Research Team,Blockchain
Candidate_242,39,Female,Married,PhD,Computer Science,MIT,Cloud Computing,Project C,50,19,Data Scientist,8,Java,Cisco Certified,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_243,33,Male,Married,BSc,Electrical Engineering,Harvard,Cloud Computing,Project C,48,28,Software Engineer,28,C++,None,Best Intern Award,Lead a Research Team,Blockchain
Candidate_244,28,Female,Married,MSc,Electrical Engineering,Stanford,Cloud Computing,Project C,0,21,Data Scientist,8,Java,Cisco Certified,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_245,39,Non-binary,Married,BSc,Electrical Engineering,MIT,Cloud Computing,Project A,47,12,Data Scientist,23,C++,AWS Certified,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_246,39,Female,Married,BSc,Mechanical Engineering,Harvard,Cybersecurity,Project C,21,22,Data Scientist,27,C++,AWS Certified,Employee of the Month,Pursue a PhD,Machine Learning
Candidate_247,31,Male,Married,BSc,Mechanical Engineering,Stanford,Cloud Computing,Project B,45,25,Software Engineer,10,C++,None,None,Pursue a PhD,Machine Learning
Candidate_248,25,Female,Single,MSc,Computer Science,Stanford,AI,Project A,28,12,Data Scientist,1,Python,None,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_249,41,Non-binary,Single,BSc,Mechanical Engineering,MIT,Cybersecurity,Project A,4,14,Software Engineer,29,Java,AWS Certified,None,Lead a Research Team,Quantum Computing
Candidate_250,46,Non-binary,Single,BSc,Electrical Engineering,Stanford,Cybersecurity,Project C,25,14,Data Scientist,28,C++,Cisco Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_251,44,Male,Single,BSc,Mechanical Engineering,MIT,Cybersecurity,Project C,19,26,Software Engineer,11,Java,Cisco Certified,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_252,22,Female,Single,BSc,Computer Science,Stanford,Cloud Computing,Project B,8,29,Data Scientist,19,Java,Cisco Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_253,49,Non-binary,Single,PhD,Computer Science,MIT,Cloud Computing,Project C,13,12,Research Assistant,25,Python,None,Best Intern Award,Lead a Research Team,Blockchain
Candidate_254,38,Female,Married,BSc,Computer Science,MIT,Cybersecurity,Project C,10,22,Data Scientist,26,Java,Cisco Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_255,33,Female,Married,PhD,Mechanical Engineering,Harvard,Cybersecurity,Project A,6,12,Research Assistant,20,Python,AWS Certified,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_256,28,Non-binary,Single,PhD,Mechanical Engineering,Harvard,Cybersecurity,Project B,16,3,Data Scientist,26,Java,None,None,Lead a Research Team,Blockchain
Candidate_257,38,Male,Married,MSc,Mechanical Engineering,Stanford,Cybersecurity,Project A,0,9,Data Scientist,11,Java,None,Employee of the Month,Pursue a PhD,Blockchain
Candidate_258,29,Female,Married,MSc,Electrical Engineering,Stanford,Cloud Computing,Project A,18,2,Data Scientist,7,Python,Cisco Certified,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_259,49,Male,Married,PhD,Electrical Engineering,Harvard,Cloud Computing,Project B,40,9,Software Engineer,13,Python,AWS Certified,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_260,48,Non-binary,Single,PhD,Mechanical Engineering,Stanford,Cloud Computing,Project A,20,17,Research Assistant,23,Python,None,Best Intern Award,Become a Senior Engineer,Quantum Computing
Candidate_261,27,Non-binary,Single,MSc,Mechanical Engineering,MIT,Cloud Computing,Project C,14,7,Research Assistant,10,Python,Cisco Certified,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_262,46,Female,Single,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project A,38,6,Software Engineer,1,C++,None,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_263,33,Male,Single,PhD,Mechanical Engineering,Harvard,AI,Project A,1,14,Data Scientist,14,Python,AWS Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_264,48,Male,Married,PhD,Mechanical Engineering,Stanford,Cloud Computing,Project C,43,20,Research Assistant,15,C++,None,Best Intern Award,Pursue a PhD,Blockchain
Candidate_265,37,Male,Single,PhD,Electrical Engineering,Harvard,Cybersecurity,Project B,40,1,Research Assistant,13,Java,Cisco Certified,None,Lead a Research Team,Machine Learning
Candidate_266,46,Non-binary,Married,PhD,Electrical Engineering,Stanford,AI,Project A,13,23,Research Assistant,8,Java,None,Best Intern Award,Become a Senior Engineer,Quantum Computing
Candidate_267,46,Female,Single,BSc,Electrical Engineering,MIT,AI,Project A,11,16,Data Scientist,28,Python,None,None,Become a Senior Engineer,Machine Learning
Candidate_268,43,Non-binary,Single,MSc,Mechanical Engineering,Stanford,Cloud Computing,Project C,20,29,Research Assistant,26,C++,Cisco Certified,Employee of the Month,Pursue a PhD,Blockchain
Candidate_269,34,Male,Married,MSc,Computer Science,MIT,Cybersecurity,Project C,50,14,Data Scientist,2,Java,None,None,Become a Senior Engineer,Quantum Computing
Candidate_270,27,Male,Single,MSc,Computer Science,Stanford,Cybersecurity,Project C,4,5,Data Scientist,2,Java,AWS Certified,None,Become a Senior Engineer,Blockchain
Candidate_271,46,Non-binary,Single,BSc,Electrical Engineering,Harvard,Cloud Computing,Project C,29,2,Software Engineer,28,C++,None,None,Become a Senior Engineer,Quantum Computing
Candidate_272,22,Male,Single,PhD,Mechanical Engineering,MIT,Cloud Computing,Project C,5,25,Software Engineer,14,Java,Cisco Certified,Employee of the Month,Pursue a PhD,Machine Learning
Candidate_273,47,Female,Married,MSc,Mechanical Engineering,MIT,Cloud Computing,Project B,34,6,Data Scientist,8,Java,AWS Certified,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_274,32,Female,Married,MSc,Electrical Engineering,Stanford,Cybersecurity,Project C,24,27,Research Assistant,19,C++,AWS Certified,None,Become a Senior Engineer,Machine Learning
Candidate_275,44,Non-binary,Married,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project B,3,13,Research Assistant,24,C++,AWS Certified,Best Intern Award,Lead a Research Team,Blockchain
Candidate_276,26,Male,Single,BSc,Electrical Engineering,MIT,AI,Project B,46,28,Software Engineer,10,Python,AWS Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_277,28,Female,Single,BSc,Mechanical Engineering,MIT,Cybersecurity,Project A,47,24,Research Assistant,2,Java,AWS Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_278,36,Male,Single,MSc,Electrical Engineering,Stanford,Cybersecurity,Project C,9,26,Research Assistant,18,Java,Cisco Certified,None,Lead a Research Team,Machine Learning
Candidate_279,25,Female,Single,MSc,Mechanical Engineering,MIT,Cybersecurity,Project C,9,12,Research Assistant,15,Python,None,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_280,32,Female,Single,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project A,17,25,Research Assistant,25,Python,Cisco Certified,Employee of the Month,Pursue a PhD,Machine Learning
Candidate_281,48,Non-binary,Married,PhD,Electrical Engineering,MIT,AI,Project A,31,29,Software Engineer,28,Java,Cisco Certified,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_282,35,Non-binary,Single,BSc,Mechanical Engineering,Harvard,Cloud Computing,Project C,12,23,Research Assistant,12,C++,None,None,Become a Senior Engineer,Machine Learning
Candidate_283,39,Female,Single,PhD,Electrical Engineering,Harvard,Cybersecurity,Project C,17,1,Research Assistant,30,Python,AWS Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_284,37,Female,Single,MSc,Computer Science,Harvard,AI,Project B,27,16,Research Assistant,16,C++,None,None,Become a Senior Engineer,Machine Learning
Candidate_285,29,Female,Married,PhD,Computer Science,MIT,AI,Project C,11,11,Data Scientist,27,Java,Cisco Certified,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_286,50,Female,Married,MSc,Mechanical Engineering,Stanford,Cybersecurity,Project B,33,28,Research Assistant,3,Python,None,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_287,48,Male,Single,BSc,Electrical Engineering,MIT,Cybersecurity,Project A,6,26,Data Scientist,10,Java,AWS Certified,Employee of the Month,Pursue a PhD,Machine Learning
Candidate_288,33,Female,Married,PhD,Electrical Engineering,Harvard,Cloud Computing,Project A,34,19,Software Engineer,6,C++,Cisco Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_289,39,Male,Married,MSc,Mechanical Engineering,Harvard,AI,Project A,22,14,Data Scientist,12,Java,Cisco Certified,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_290,33,Male,Married,MSc,Computer Science,Harvard,AI,Project C,13,21,Data Scientist,7,Java,Cisco Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_291,30,Female,Married,PhD,Computer Science,Harvard,Cloud Computing,Project C,29,22,Software Engineer,27,C++,None,None,Lead a Research Team,Machine Learning
Candidate_292,32,Female,Married,PhD,Mechanical Engineering,Harvard,AI,Project C,36,4,Software Engineer,24,Python,Cisco Certified,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_293,43,Female,Married,BSc,Computer Science,Stanford,AI,Project B,5,23,Research Assistant,24,Python,AWS Certified,None,Become a Senior Engineer,Quantum Computing
Candidate_294,47,Female,Married,PhD,Mechanical Engineering,Stanford,Cloud Computing,Project B,25,13,Software Engineer,25,Java,Cisco Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_295,35,Male,Married,BSc,Mechanical Engineering,Stanford,Cloud Computing,Project A,43,9,Research Assistant,3,Python,None,None,Lead a Research Team,Machine Learning
Candidate_296,45,Female,Married,PhD,Electrical Engineering,MIT,Cloud Computing,Project A,24,21,Data Scientist,26,Python,None,Best Intern Award,Pursue a PhD,Blockchain
Candidate_297,31,Female,Single,PhD,Electrical Engineering,MIT,Cybersecurity,Project C,1,18,Software Engineer,11,Python,AWS Certified,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_298,33,Male,Married,MSc,Electrical Engineering,Harvard,AI,Project B,0,13,Data Scientist,28,Java,AWS Certified,None,Lead a Research Team,Quantum Computing
Candidate_299,46,Non-binary,Single,BSc,Electrical Engineering,MIT,Cybersecurity,Project A,9,20,Research Assistant,6,Java,Cisco Certified,None,Become a Senior Engineer,Blockchain
Candidate_300,29,Female,Married,PhD,Electrical Engineering,Stanford,AI,Project A,44,20,Data Scientist,28,C++,Cisco Certified,None,Pursue a PhD,Quantum Computing
Candidate_301,36,Non-binary,Married,MSc,Electrical Engineering,MIT,Cloud Computing,Project C,34,19,Data Scientist,7,Java,AWS Certified,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_302,44,Female,Married,BSc,Electrical Engineering,Stanford,Cybersecurity,Project C,3,23,Research Assistant,15,Java,AWS Certified,None,Become a Senior Engineer,Quantum Computing
Candidate_303,25,Non-binary,Single,MSc,Computer Science,MIT,Cloud Computing,Project B,16,8,Software Engineer,23,Python,Cisco Certified,Best Intern Award,Lead a Research Team,Blockchain
Candidate_304,30,Male,Married,PhD,Computer Science,Stanford,Cybersecurity,Project A,47,18,Data Scientist,19,C++,Cisco Certified,None,Pursue a PhD,Blockchain
Candidate_305,37,Non-binary,Single,MSc,Electrical Engineering,Stanford,AI,Project C,11,14,Software Engineer,25,C++,None,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_306,22,Male,Married,PhD,Electrical Engineering,Harvard,Cybersecurity,Project A,39,1,Research Assistant,26,Python,None,Best Intern Award,Pursue a PhD,Quantum Computing
Candidate_307,30,Male,Single,BSc,Computer Science,Harvard,Cybersecurity,Project C,11,19,Research Assistant,3,Python,Cisco Certified,None,Pursue a PhD,Machine Learning
Candidate_308,22,Male,Married,PhD,Mechanical Engineering,Harvard,Cybersecurity,Project C,16,19,Software Engineer,18,Java,AWS Certified,None,Pursue a PhD,Machine Learning
Candidate_309,26,Male,Single,BSc,Electrical Engineering,Stanford,Cloud Computing,Project C,1,14,Research Assistant,21,Python,None,Employee of the Month,Pursue a PhD,Blockchain
